Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
           2.8,2.837005051,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
           7.1,7.057606915,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
           2.8,2.837640048,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
           0.9,0.94326506,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
           1.3,1.349645817,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
           1.4,1.388492232,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
           1.3,1.334180849,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
           4.6,4.645336538,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
           1.1,1.063943245,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
           1.8,1.750744891,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.0,0,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.0,0.025590531,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
           1.7,1.700338508,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
           4.8,4.819856075,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
           1.5,1.494991489,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
           1.1,1.099210772,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
           1.4,1.366158804,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
           2.6,2.636894775,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
           1.7,1.727639927,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
           2.4,2.442017266,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
           5.2,5.189272665,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
           3.2,3.151244069,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
           1.2,1.194844814,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
           1.2,1.248479341,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
           1.1,1.066018966,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
           1.0,1.002104992,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
           4.8,4.769450076,Per cent of total,3,3,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
